+----------------------+---------------------+---------------------+------------+----------------+--------------------+----------------------+
| department           | shift_start         | shift_end           | shift_type | staff_category | subcategory        | assigned_staff_count |
| Pulmonology          | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Pulmonology          | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Pulmonology          | 2025-01-08 15:00:00 | 2025-01-08 23:00:00 | Afternoon  | Doctor         | Pulmonology        |                    2 |
| Pulmonology          | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Administration | Coordinator        |                    2 |
| Pulmonology          | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Doctor         | Pulmonology        |                    3 |
| Pulmonology          | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Pulmonology          | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Pulmonology          | 2025-01-10 15:00:00 | 2025-01-10 23:00:00 | Afternoon  | Doctor         | Pulmonology        |                    2 |
| Pulmonology          | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Administration | Coordinator        |                    2 |
| Pulmonology          | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Doctor         | Pulmonology        |                    3 |
| Pulmonology          | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Pulmonology          | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Pulmonology          | 2025-01-12 15:00:00 | 2025-01-12 23:00:00 | Afternoon  | Doctor         | Pulmonology        |                    2 |
| Radiology            | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Radiology            | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Doctor         | Radiology          |                    3 |
| Radiology            | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Radiology            | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Radiology            | 2025-01-06 15:00:00 | 2025-01-06 23:00:00 | Afternoon  | Doctor         | Radiology          |                    2 |
| Radiology            | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Radiology            | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Doctor         | Radiology          |                    3 |
| Radiology            | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Radiology            | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Radiology            | 2025-01-08 15:00:00 | 2025-01-08 23:00:00 | Afternoon  | Doctor         | Radiology          |                    2 |
| Radiology            | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Radiology            | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Doctor         | Radiology          |                    3 |
| Radiology            | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Radiology            | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Radiology            | 2025-01-10 15:00:00 | 2025-01-10 23:00:00 | Afternoon  | Doctor         | Radiology          |                    2 |
| Radiology            | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Radiology            | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Doctor         | Radiology          |                    3 |
| Radiology            | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Nurse              |                    3 |
| Radiology            | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Nursing Assistant  |                    1 |
| Radiology            | 2025-01-12 15:00:00 | 2025-01-12 23:00:00 | Afternoon  | Doctor         | Radiology          |                    2 |
| Urology              | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Administration | HR Manager         |                    2 |
| Urology              | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Doctor         | Urology            |                    3 |
| Urology              | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Urology              | 2025-01-06 15:00:00 | 2025-01-06 23:00:00 | Afternoon  | Doctor         | Urology            |                    2 |
| Urology              | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Administration | HR Manager         |                    2 |
| Urology              | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Doctor         | Urology            |                    3 |
| Urology              | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Urology              | 2025-01-08 15:00:00 | 2025-01-08 23:00:00 | Afternoon  | Doctor         | Urology            |                    2 |
| Urology              | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Administration | HR Manager         |                    2 |
| Urology              | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Doctor         | Urology            |                    3 |
| Urology              | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Urology              | 2025-01-10 15:00:00 | 2025-01-10 23:00:00 | Afternoon  | Doctor         | Urology            |                    2 |
| Urology              | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Administration | HR Manager         |                    2 |
| Urology              | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Doctor         | Urology            |                    3 |
| Urology              | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Urology              | 2025-01-12 15:00:00 | 2025-01-12 23:00:00 | Afternoon  | Doctor         | Urology            |                    2 |
+----------------------+---------------------+---------------------+------------+----------------+--------------------+----------------------+
